session_id,scenario_id,scenario_title,mode,language,started_at,ended_at,message_id,sender,message_type,text,image_url,audio_url,transcription,detected_language,suggestion,suggestions,timestamp,message_count,session_duration_minutes
660767bd-670d-4be6-a6f2-6afa5a23662a,free-talk,Talk with Riya,voice,hi,12/04/26 10:00,,322d7777-8a0b-43a8-939e-2a30f7546ee3,riya,text,"What are you learning today?
-----------
आप आज क्या सीख रहे हैं?",,,,,,"[u'Talking practice', u'Vocabulary', u'Grammar']",12/04/26 10:01,5,
660767bd-670d-4be6-a6f2-6afa5a23662a,free-talk,Talk with Riya,voice,hi,12/04/26 10:00,,94ce2f69-32a3-4884-a876-bceb15b2dfd1,riya,text,"Hello! 👋
It's nice to talk to you.
-----------
नमस्ते! 👋
 आपसे बात करके अच्छा लगा।",,,,,,,12/04/26 10:01,5,
660767bd-670d-4be6-a6f2-6afa5a23662a,free-talk,Talk with Riya,voice,hi,12/04/26 10:00,,fbcf0626-95cb-4de1-9d51-0eaa65716a52,user,text,Hello?,,,,,,,12/04/26 10:01,5,
660767bd-670d-4be6-a6f2-6afa5a23662a,free-talk,Talk with Riya,voice,hi,12/04/26 10:00,,cc06bdaf-4d91-4108-beb4-573d9a417efa,riya,text,"What do you want to talk about?
-----------
आप किस बारे में बात करना चाहते हैं?",,,,,,"[u""Let's talk food"", u'Tell me about India', u'My favorite hobbies']",12/04/26 10:00,5,
660767bd-670d-4be6-a6f2-6afa5a23662a,free-talk,Talk with Riya,voice,hi,12/04/26 10:00,,8ce3e3dd-36ba-44d2-9d2a-1249e6b477c5,riya,text,"Hi! I'm Riya. I'm your AI friend.
You are a learner practicing English. 😊
-----------
नमस्ते! मैं रिया हूँ। मैं आपकी AI दोस्त हूँ।
आप अंग्रेजी का अभ्यास करने वाले एक लर्नर हैं। 😊",,,,,,,12/04/26 10:00,5,
c113698d-1bdc-40a1-b726-e60bfd626313,free-talk,Talk with Riya,voice,hi,12/04/26 10:01,,da94864a-4bd3-4e62-a572-3c69e0d1cc9a,riya,text,"Are you ready to practice English?
-----------
क्या आप अंग्रेजी का अभ्यास करने के लिए तैयार हैं?",,,,,,"[u'Yes, I am!', u""Let's practice!"", u'What should we do?']",12/04/26 10:02,5,
c113698d-1bdc-40a1-b726-e60bfd626313,free-talk,Talk with Riya,voice,hi,12/04/26 10:01,,e09cd451-e628-48b4-b480-83ba5fcbc5c6,riya,text,"I'm not sure I understand. 
Can you please say that again?
-----------
मुझे यकीन नहीं है कि मैं समझी। 
क्या आप कृपया इसे दोहरा सकते हैं?",,,,,,,12/04/26 10:02,5,
c113698d-1bdc-40a1-b726-e60bfd626313,free-talk,Talk with Riya,voice,hi,12/04/26 10:01,,d208f670-8040-4232-acb1-30fb6a7037f5,user,text,Some,,,,,,,12/04/26 10:02,5,
c113698d-1bdc-40a1-b726-e60bfd626313,free-talk,Talk with Riya,voice,hi,12/04/26 10:01,,9755312f-57da-44ae-95a5-401850c44f91,riya,text,"How can I help you today?
-----------
मैं आज आपकी कैसे मदद कर सकती हूँ?",,,,,,"[u'Just chat with me', u""Let's practice speaking"", u'I want to learn new words']",12/04/26 10:01,5,
c113698d-1bdc-40a1-b726-e60bfd626313,free-talk,Talk with Riya,voice,hi,12/04/26 10:01,,f4eee2c0-5b2c-47fd-9331-9927526419c1,riya,text,"Hello! I am Riya.
I will be your English practice partner.
You will practice speaking English with me. 😊
-----------
नमस्ते! मैं रिया हूँ।
मैं आपकी अंग्रेजी अभ्यास साथी बनूंगी।
आप मेरे साथ अंग्रेजी बोलने का अभ्यास करेंगे। 😊",,,,,,,12/04/26 10:01,5,
